Participant_id,1st decision,2nd decision,3rd decision,4th decision,5th decision,6th decision,7th decision
1,df on,df off,0,0,0,0,0
2,0,0,0,0,0,0,0
3,df on,0,0,0,0,0,0
4,df on,df off,df off,df on,df off,0,0
5,0,0,0,0,0,0,0
6,rh on,0,0,0,0,0,0
7,rh on,df on,0,0,0,0,0
8,df off,0,0,0,0,0,0
9,df on,0,0,0,0,0,0
10,df on,at off,0,0,0,0,0
11,at off,0,0,0,0,0,0
12,df on,at off,0,0,0,0,0
13,df on,0,0,0,0,0,0
14,df on,df off,0,0,0,0,0
15,at off,df on,df off,0,0,0,0
16,df on,rh on,at on,0,0,0,0
17,df on,0,0,0,0,0,0
18,0,0,0,0,0,0,0
19,at on,at off,0,0,0,0,0
20,df off,rh off,at off,0,0,0,0
21,df off,rh on,rh off,at off,df off,0,0
22,rh on,rh off,0,0,0,0,0
23,rh on,df on,rh off,0,0,0,0
24,df on,0,0,0,0,0,0
25,rh on,at on,at off,df off,0,0,0
26,df on,0,0,0,0,0,0
27,df on,0,0,0,0,0,0
28,rh off,df on,at on,at off,df on,0,0
29,0,0,0,0,0,0,0
30,rh on,at on,df on,rh off,at off,df off,0
31,rh on,df off,df on,0,0,0,0
32,df on,at on,df off,0,0,0,0
33,at on,at off,0,0,0,0,0
34,0,0,0,0,0,0,0
35,at off,df on,0,0,0,0,0
36,df on,0,0,0,0,0,0
37,df off,0,0,0,0,0,0
38,at on,0,0,0,0,0,0
39,df off,0,0,0,0,0,0
40,df on,rh off,at on,df off,at off,0,0
41,0,0,0,0,0,0,0
42,0,0,0,0,0,0,0
43,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0
45,df on,0,0,0,0,0,0
