Participant_id,1st decision,2nd decision,3rd decision,4th decision,5th decision,6th decision,7th decision,8th decision,9th decision,10th decision,11th decision
1,tl 4,bl 0,cl 2,0,0,0,0,0,0,0,0
2,cl 3,cl 0,tl 4,bl 0,cl 1,0,0,0,0,0,0
3,bl 4,cl 2,0,0,0,0,0,0,0,0,0
4,cl 3,cl 1,bl 4,tl 2,cl 0,tl 2,bl 4,cl 3,bl 3,bl 4,0
5,0,0,0,0,0,0,0,0,0,0,0
6,cl 1,bl 4,0,0,0,0,0,0,0,0,0
7,bl 1,cl 2,tl 2,0,0,0,0,0,0,0,0
8,bl 2,cl 3,0,0,0,0,0,0,0,0,0
9,tl 2,cl 0,tl 4,0,0,0,0,0,0,0,0
10,tl 3,bl 3,0,0,0,0,0,0,0,0,0
11,bl 4,0,0,0,0,0,0,0,0,0,0
12,tl 4,bl 4,cl 1,0,0,0,0,0,0,0,0
13,tl 3,cl 3,0,0,0,0,0,0,0,0,0
14,tl 1,cl 0,tl 0,bl 2,cl 0,0,0,0,0,0,0
15,bl 4,cl 3,cl 1,tl 0,0,0,0,0,0,0,0
16,bl 0,tl 4,cl 3,cl 0,tl 0,0,0,0,0,0,0
17,cl 3,bl 4,0,0,0,0,0,0,0,0,0
18,cl 3,tl 3,bl 4,0,0,0,0,0,0,0,0
19,bl 4,cl 2,0,0,0,0,0,0,0,0,0
20,bl 0,cl 0,tl 4,bl 4,tl 0,cl 3,tl 4,0,0,0,0
21,cl 0,bl 0,cl 3,bl 2,cl 2,0,0,0,0,0,0
22,bl 4,0,0,0,0,0,0,0,0,0,0
23,bl 3,cl 2,bl 2,0,0,0,0,0,0,0,0
24,bl 4,tl 4,cl 3,bl 0,bl 3,0,0,0,0,0,0
25,bl 3,bl 4,cl 2,0,0,0,0,0,0,0,0
26,bl 3,0,0,0,0,0,0,0,0,0,0
27,cl 1,tl 2,cl 3,bl 4,0,0,0,0,0,0,0
28,cl 3,bl 3,cl 0,tl 4,0,0,0,0,0,0,0
29,0,0,0,0,0,0,0,0,0,0,0
30,tl 1,cl 1,cl 2,cl 1,tl 4,cl 0,0,0,0,0,0
31,cl 1,tl 2,cl 3,0,0,0,0,0,0,0,0
32,cl 1,bl 1,0,0,0,0,0,0,0,0,0
33,bl 1,cl 3,tl 0,cl 0,cl 3,tl 4,0,0,0,0,0
34,0,0,0,0,0,0,0,0,0,0,0
35,cl 3,0,0,0,0,0,0,0,0,0,0
36,cl 3,cl 3,0,0,0,0,0,0,0,0,0
37,bl 1,tl 0,bl 0,0,0,0,0,0,0,0,0
38,0,0,0,0,0,0,0,0,0,0,0
39,bl 4,0,0,0,0,0,0,0,0,0,0
40,tl 4,cl 2,bl 1,tl 4,0,0,0,0,0,0,0
41,cl 3,tl 3,bl 3,0,0,0,0,0,0,0,0
42,cl 3,0,0,0,0,0,0,0,0,0,0
43,bl 4,cl 1,0,0,0,0,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,0,0
45,0,0,0,0,0,0,0,0,0,0,0
