Participant_id,1st decision,2nd decision,3rd decision,4th decision,5th decision,6th decision,7th decision,8th decision,9th decision
1,bl 4,bl 2,cl 2,bl 1,0,0,0,0,0
2,bl 1,0,0,0,0,0,0,0,0
3,bl 1,0,0,0,0,0,0,0,0
4,cl 0,bl 2,tl 0,0,0,0,0,0,0
5,cl 2,bl 1,0,0,0,0,0,0,0
6,bl 1,0,0,0,0,0,0,0,0
7,bl 1,tl 0,0,0,0,0,0,0,0
8,cl 0,bl 1,0,0,0,0,0,0,0
9,bl 1,cl 0,tl 0,0,0,0,0,0,0
10,bl 1,tl 2,0,0,0,0,0,0,0
11,cl 2,bl 2,tl 0,bl 0,bl 1,0,0,0,0
12,bl 1,cl 0,tl 2,cl 3,tl 0,bl 0,0,0,0
13,tl 0,bl 0,tl 4,0,0,0,0,0,0
14,cl 2,bl 1,0,0,0,0,0,0,0
15,bl 2,cl 1,bl 1,0,0,0,0,0,0
16,bl 1,0,0,0,0,0,0,0,0
17,cl 1,0,0,0,0,0,0,0,0
18,bl 1,0,0,0,0,0,0,0,0
19,0,0,0,0,0,0,0,0,0
20,bl 0,cl 0,0,0,0,0,0,0,0
21,bl 1,0,0,0,0,0,0,0,0
22,bl 1,tl 0,0,0,0,0,0,0,0
23,bl 1,cl 0,tl 1,0,0,0,0,0,0
24,bl 1,cl 0,0,0,0,0,0,0,0
25,bl 0,cl 1,cl 0,bl 0,0,0,0,0,0
26,bl 1,cl 3,0,0,0,0,0,0,0
27,bl 1,0,0,0,0,0,0,0,0
28,bl 1,0,0,0,0,0,0,0,0
29,bl 3,cl 2,bl 1,0,0,0,0,0,0
30,bl 2,cl 1,cl 0,0,0,0,0,0,0
31,bl 1,cl 2,tl 1,0,0,0,0,0,0
32,bl 1,cl 3,cl 2,0,0,0,0,0,0
33,bl 3,bl 1,0,0,0,0,0,0,0
34,bl 1,bl 1,tl 2,0,0,0,0,0,0
35,bl 1,0,0,0,0,0,0,0,0
36,bl 3,bl 2,bl 1,0,0,0,0,0,0
37,tl 0,cl 3,bl 1,0,0,0,0,0,0
38,bl 1,tl 2,cl 0,bl 1,0,0,0,0,0
39,bl 1,0,0,0,0,0,0,0,0
40,0,0,0,0,0,0,0,0,0
41,cl 2,bl 1,0,0,0,0,0,0,0
42,cl 1,bl 1,0,0,0,0,0,0,0
43,bl 1,cl 1,cl 0,0,0,0,0,0,0
44,bl 1,0,0,0,0,0,0,0,0
45,cl 2,bl 2,bl 1,0,0,0,0,0,0
