Participant_id,1st decision,2nd decision,3rd decision,4th decision,5th decision,6th decision,7th decision,8th decision,9th decision,10th decision,11th decision,12th decision,13th decision,14th decision,15th decision,16th decision
3,df 3,df 0,tl 4,bl 0,cl 2,0,0,0,0,0,0,0,0,0,0,0
4,cl 3,cl 0,tl 4,bl 0,cl 1,0,0,0,0,0,0,0,0,0,0,0
5,df 1,bl 4,cl 2,0,0,0,0,0,0,0,0,0,0,0,0,0
6,df 1,cl 3,df 0,cl 1,bl 4,tl 2,cl 0,df 0,tl 2,bl 4,cl 3,df 1,bl 3,bl 4,df 0,0
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,rh 1,cl 1,bl 4,0,0,0,0,0,0,0,0,0,0,0,0,0
10,bl 1,cl 2,rh 1,tl 2,df 2,0,0,0,0,0,0,0,0,0,0,0
11,bl 2,df 0,cl 3,0,0,0,0,0,0,0,0,0,0,0,0,0
12,tl 2,cl 0,tl 4,df 1,0,0,0,0,0,0,0,0,0,0,0,0
13,df 1,tl 3,bl 3,at 0,0,0,0,0,0,0,0,0,0,0,0,0
14,at 0,bl 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,tl 4,bl 4,df 1,cl 1,at 0,0,0,0,0,0,0,0,0,0,0,0
16,df 1,tl 3,cl 3,0,0,0,0,0,0,0,0,0,0,0,0,0
17,df 1,tl 1,cl 0,tl 0,bl 2,cl 0,df 0,0,0,0,0,0,0,0,0,0
18,bl 4,cl 3,at 0,df 3,cl 1,df 0,tl 0,0,0,0,0,0,0,0,0,0
19,df 1,rh 1,bl 0,tl 4,cl 3,cl 0,tl 0,at 1,0,0,0,0,0,0,0,0
20,df 3,cl 3,bl 4,0,0,0,0,0,0,0,0,0,0,0,0,0
21,cl 3,tl 3,bl 4,0,0,0,0,0,0,0,0,0,0,0,0,0
22,bl 4,at 1,at 0,cl 2,0,0,0,0,0,0,0,0,0,0,0,0
23,bl 0,cl 0,tl 4,bl 4,tl 0,cl 3,tl 4,df 0,rh 0,at 0,0,0,0,0,0,0
24,cl 0,bl 0,df 0,cl 3,rh 1,rh 0,at 0,bl 2,cl 2,df 0,0,0,0,0,0,0
25,rh 1,bl 4,rh 0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,rh 1,df 1,rh 0,bl 3,cl 2,bl 2,0,0,0,0,0,0,0,0,0,0
27,bl 4,tl 4,cl 3,df 1,bl 0,bl 3,0,0,0,0,0,0,0,0,0,0
28,bl 3,rh 1,at 1,bl 4,at 0,cl 2,df 0,0,0,0,0,0,0,0,0,0
29,df 1,bl 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,df 1,cl 1,tl 2,cl 3,bl 4,0,0,0,0,0,0,0,0,0,0,0
31,cl 3,rh 0,df 1,bl 3,cl 0,tl 4,at 1,at 0,df 1,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,rh 1,tl 1,cl 1,at 1,cl 2,df 1,cl 1,rh 0,at 0,df 0,tl 4,cl 0,0,0,0,0
034final,cl 1,rh 1,df 0,df 1,tl 2,cl 3,0,0,0,0,0,0,0,0,0,0
75,cl 1,bl 1,df 2,at 1,df 0,0,0,0,0,0,0,0,0,0,0,0
76,bl 1,at 1,cl 3,tl 0,cl 0,at 0,cl 3,tl 4,0,0,0,0,0,0,0,0
0001nsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0002ns-new,cl 3,at 0,df 1,0,0,0,0,0,0,0,0,0,0,0,0,0
3,cl 3,df 1,cl 3,0,0,0,0,0,0,0,0,0,0,0,0,0
0008nsi,bl 1,df 0,tl 0,bl 0,0,0,0,0,0,0,0,0,0,0,0,0
0018nsi,at 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0020nsi,df 0,bl 4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0019nsi,tl 4,cl 2,bl 1,df 1,rh 0,at 1,df 0,at 0,tl 4,0,0,0,0,0,0,0
0024ns,cl 3,tl 3,bl 3,0,0,0,0,0,0,0,0,0,0,0,0,0
0025nsi,cl 3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0026nsi,bl 4,cl 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0027nsi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0034nsi,df 1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
